Player,GS,Cmp%_zscore,Yds_zscore,Y/G_zscore,TD%_zscore,Int%_zscore,Sk%_zscore,Rate_zscore,ANY/A_zscore
Kevin Kolb,21,0.05,-0.51,0.01,0.06,-0.33,0.9,0.18,-0.02
Kevin Sweeney,4,-0.99,-0.96,-0.67,1.6,0.32,0.67,0.16,0.11
Kirk Cousins,88,0.94,0.97,0.78,0.55,-0.27,-0.53,0.84,0.76
Kordell Stewart,75,-0.15,0.34,-0.1,-0.0,-0.01,-0.24,-0.12,-0.03
Koy Detmer,8,-0.82,-0.84,-0.92,0.06,-0.11,-1.31,-0.41,-0.08
Kurt Kittner,4,-3.2,-1.15,-1.8,-1.01,1.11,-0.71,-2.41,-1.95
Kurt Warner,116,1.3,1.15,1.41,0.9,-0.11,-0.3,1.17,1.11
Kyle Allen,13,0.03,0.55,0.61,-0.0,0.26,-0.01,-0.09,-0.12
Kyle Boller,47,-0.29,-0.06,-0.32,-0.38,0.03,0.1,-0.41,-0.51
Kyle Mackey,4,-0.19,-0.67,0.18,-0.87,0.1,-0.54,-0.76,-0.47
Kyle Orton,74,-0.06,0.54,0.39,-0.02,-0.39,-0.24,0.08,0.08
Kyler Murray,16,0.41,0.95,0.45,0.0,-0.21,0.06,0.19,0.08
Lamar Jackson,22,0.16,0.16,-0.46,1.62,-0.62,-0.27,1.08,0.97
Landry Jones,5,0.34,-1.24,-1.87,0.49,1.43,-0.55,-0.11,0.32
Luke Falk,2,0.41,-1.12,-0.78,-1.8,0.88,2.45,-1.2,-1.59
Luke McCown,10,0.11,-0.95,-0.76,-0.62,0.87,0.44,-0.65,-0.77
Lynn Dickey,50,0.46,1.13,0.94,0.94,0.61,-0.09,0.55,0.56
Marc Bulger,95,0.61,0.86,1.06,0.11,-0.29,0.16,0.47,0.36
Marc Wilson,51,-0.22,0.23,-0.37,0.18,0.32,0.21,-0.14,-0.1
Marcus Mariota,61,0.2,0.31,0.09,0.14,-0.14,0.45,0.32,0.28
Mark Brunell,151,0.4,0.79,0.55,0.18,-0.7,0.08,0.57,0.47
Mark Herrmann,12,0.82,-0.8,-0.04,-0.31,1.01,-0.06,-0.36,-0.43
Mark Malone,51,-0.43,0.33,0.08,0.02,0.11,-0.97,-0.39,-0.1
Mark Rypien,78,0.06,0.82,0.74,0.39,-0.31,-1.08,0.39,0.64
Mark Sanchez,73,-0.52,0.39,0.1,-0.07,0.52,-0.07,-0.4,-0.27
Mark Vlasic,4,-0.46,-1.22,-0.94,-0.57,-0.35,-1.07,-0.42,-0.43
Marques Tuiasosopo,2,-0.54,-1.32,-1.08,-0.9,2.38,1.42,-1.62,-1.65
Mason Rudolph,8,0.04,-0.27,-0.29,0.44,0.36,-0.68,-0.11,-0.18
Matt Barkley,7,-0.33,-0.59,0.4,0.21,1.55,-1.09,-0.67,-0.16
Matt Cassel,73,-0.04,0.26,0.15,0.19,0.01,0.15,0.03,-0.04
Matt Cavanaugh,7,-1.12,-1.21,-1.62,1.12,0.71,0.7,-0.25,-0.15
Matt Flynn,2,0.92,-1.06,-1.42,2.19,0.08,0.85,1.44,1.27
Matt Hasselbeck,160,0.25,0.71,0.52,0.16,-0.3,-0.17,0.3,0.3
Matt Kofler,1,-1.15,-1.32,-1.53,-1.07,1.05,1.76,-1.48,-1.81
Matt Leinart,18,-0.38,-0.19,-0.11,-0.66,-0.07,-0.75,-0.4,-0.18
Matt Lytle,1,-0.24,-1.43,-2.09,-0.18,3.37,0.49,-2.4,-3.0
Matt Mauck,1,-0.48,-1.42,-1.66,-2.4,0.16,-1.1,-1.44,-1.2
Matt McGloin,7,-0.99,-0.82,-0.27,-0.44,0.35,-1.57,-0.61,-0.05
Matt Moore,32,0.11,-0.45,-0.36,0.55,-0.07,0.21,0.29,0.25
Matt Ryan,189,0.84,1.27,1.03,0.44,-0.44,-0.59,0.77,0.77
Matt Schaub,93,0.83,0.78,0.9,0.2,-0.32,-0.54,0.66,0.72
Matt Stevens,2,0.44,-0.76,-0.55,-0.88,-0.89,0.15,-0.04,-0.29
Matthew Stafford,149,0.3,1.13,1.05,0.31,-0.34,-0.34,0.43,0.44
Max Hall,3,-1.21,-1.07,-1.64,-1.29,1.36,2.73,-1.99,-1.87
Michael Vick,114,-0.5,0.18,-0.09,0.23,-0.29,0.67,0.09,0.1
Mike Buck,1,0.5,-1.14,-0.74,2.63,1.02,-0.53,1.02,1.24
Mike Busch,1,-1.61,-0.8,-0.08,0.58,0.05,0.71,-0.48,-0.48
Mike Glennon,22,-0.13,-0.3,-0.07,0.21,-0.22,0.38,-0.05,-0.4
Mike Hohensee,2,0.21,-0.73,0.36,0.99,-0.86,-0.5,0.93,0.74
Mike Kelley,1,0.7,-0.77,-0.59,-0.37,-1.57,-0.86,1.55,2.26
Mike McMahon,14,-2.14,-0.76,-0.9,-0.31,0.27,0.75,-1.06,-0.71
Mike Moroski,9,0.32,-0.72,-1.4,-1.15,0.15,-0.15,-0.42,-0.3
Mike Pagel,54,-0.77,0.03,-0.28,-0.34,-0.11,-0.21,-0.44,-0.25
Mike Tomczak,73,-0.26,-0.03,-0.47,-0.04,0.34,-0.76,-0.21,0.2
Mitchell Trubisky,41,0.21,0.39,0.07,-0.16,-0.28,-0.19,0.05,0.03
Moses Moreno,3,-1.5,-1.42,-1.78,-1.68,-0.43,0.64,-1.49,-1.54
Nathan Peterman,4,-1.88,-1.31,-1.98,-0.77,3.5,-0.7,-2.85,-2.68
Neil Lomax,94,0.56,1.25,1.02,0.17,-0.77,0.6,0.72,0.42
Neil O'Donnell,100,0.28,0.49,0.48,0.04,-0.81,0.07,0.49,0.38
Nick Foles,48,0.03,-0.37,0.07,0.09,-0.51,-0.5,0.12,0.26
Nick Mullens,8,0.17,-0.07,1.01,0.21,0.42,-0.48,0.22,0.51
Oliver Luck,9,0.11,-0.69,0.07,-0.54,0.49,-0.31,-0.59,-0.66
Pat Ryan,19,0.23,-0.31,-0.95,0.46,-0.01,-0.2,0.17,0.1
Patrick Mahomes,31,0.58,1.34,1.32,1.49,-0.64,-1.0,1.28,1.46
Patrick Ramsey,24,-0.25,-0.07,0.21,0.17,-0.12,0.29,0.04,0.04
Paul Justin,10,0.14,-0.89,-0.92,-0.71,-0.08,-0.02,-0.16,-0.08
Paul McDonald,21,-0.31,0.79,0.4,-0.55,0.21,0.12,-0.48,-0.25
Paxton Lynch,4,0.26,-1.2,-0.62,-0.24,0.64,2.04,-0.5,-1.07
Peter Tom Willis,3,-0.14,-0.93,-1.28,-0.51,2.27,0.29,-1.35,-1.22
Peyton Manning,265,1.16,1.62,1.41,1.17,-0.39,-1.18,1.14,1.22
Phil Simms,125,0.39,1.13,0.93,0.33,-0.53,0.22,0.67,0.65
Philip Rivers,224,0.75,1.3,0.98,0.8,-0.24,-0.42,0.83,0.84
Quincy Carter,34,-0.25,0.18,0.15,-0.16,0.2,0.21,-0.19,-0.05
Quinn Gray,4,-0.69,-0.62,-0.87,1.58,0.11,-0.08,0.46,0.46
Randall Cunningham,135,0.28,0.9,0.74,0.56,-0.33,0.67,0.52,0.27
Randy Fasani,1,-2.73,-1.36,-1.81,-2.17,3.13,1.47,-3.33,-3.0
Randy Wright,32,0.06,0.59,0.46,-0.53,0.2,-0.25,-0.41,-0.28
Ray Lucas,15,0.31,-0.35,0.02,0.15,-0.43,-0.65,0.32,0.26
Reggie Collier,1,-0.18,-1.34,-1.72,1.67,3.58,2.18,-0.92,-2.81
Rex Grossman,47,-0.69,0.17,0.25,-0.06,0.28,-0.54,-0.37,-0.16
Rich Gannon,132,0.54,0.73,0.56,0.41,-0.6,-0.19,0.63,0.54
Richard Todd,39,0.14,0.8,0.43,0.06,0.17,-0.05,0.0,-0.03
Rick Mirer,68,-0.51,0.13,-0.11,-0.67,0.14,0.65,-0.63,-0.62
Rick Neuheisel,2,1.65,-0.71,-0.31,-0.91,-0.93,0.96,0.53,-0.33
Rob Johnson,29,0.8,-0.41,-0.25,0.25,-0.53,2.0,0.75,0.14
Robert Griffin,41,0.55,0.05,0.06,-0.26,-0.61,0.75,0.42,0.23
Rodney Peete,87,0.17,-0.07,0.2,-0.22,0.11,0.57,-0.02,-0.02
Ron Jaworski,62,-0.2,0.74,0.56,-0.06,-0.27,-0.02,0.08,0.12
Russell Wilson,128,0.56,0.83,0.34,1.19,-0.63,0.54,1.15,0.9
Rusty Hilger,14,-1.26,-0.18,-0.1,-0.72,0.05,0.59,-0.9,-0.72
Rusty Lisch,1,-0.7,-1.06,-1.4,-2.16,0.92,1.12,-1.99,-2.04
Rusty Smith,1,-1.21,-1.18,-1.11,-1.96,2.15,-1.44,-2.51,-1.81
